K2_K1
-6.031100406E-02,-5.974522107E-02,-5.895651918E-02,-5.836020072E-02,-5.790442806E-02,-5.755223484E-02,-5.725889671E-02,-5.699783724E-02,-5.673673499E-02,-5.645557632E-02,-5.612393644E-02,-5.572402232E-02,-5.52130933E-02,-5.45462212E-02,-5.363388117E-02,-5.232016362E-02,-5.026819061E-02,-4.659291532E-02,-1.437472289E-02
-5.974522107E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.895651918E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.836020072E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.790442806E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.755223484E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.725889671E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.699783724E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.673673499E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.645557632E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.612393644E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.572402232E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.52130933E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.45462212E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.363388117E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.232016362E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.026819061E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.659291532E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.437472289E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
